,EWH,LV,MV,Tariff,EWH flex,PV
0,0.0,12.908999999999995,3.819,c,0.0,0.0
1,0.0,12.528,3.766625,c,0.0,0.0
2,0.0,10.797000000000002,3.71425,v,0.0,0.0
3,0.0,10.367,3.661875,v,0.0,0.0
4,0.0,10.015,3.6095,v,0.0,0.0
5,0.0,9.389999999999997,3.6210000000000004,v,0.0,0.0
6,0.0,10.147,3.6325,v,0.0,0.0
7,0.0,9.120999999999997,3.6439999999999997,v,0.0,0.0
8,0.0,7.7469999999999954,3.6555,sv,0.0,0.0
9,0.0,7.746999999999999,3.6491875,sv,0.0,0.0
10,0.0,7.873999999999998,3.642875,sv,0.0,0.0
11,0.0,7.3,3.6365625,sv,0.0,0.0
12,0.0,7.387999999999994,3.63025,sv,0.0,0.0
13,0.0,7.595999999999997,3.70025,sv,0.0,0.0
14,0.0,7.421999999999998,3.77025,sv,0.0,0.0
15,0.0,7.136999999999996,3.84025,sv,0.0,0.0
16,0.0,7.335999999999995,3.91025,sv,0.0,0.0
17,0.0,7.424999999999992,3.9198125,sv,0.0,0.0
18,0.0,7.154999999999994,3.929375,sv,0.0,0.0
19,0.0,7.652999999999996,3.9389375,sv,0.0,0.0
20,0.0,6.986999999999991,3.9485,sv,0.0,0.0
21,0.0,6.802999999999997,5.1865,sv,0.0,0.0
22,1.05,6.6119999999999965,6.4245,sv,0.0,0.0
23,1.05,7.074999999999995,7.6625,sv,0.0,0.0
24,2.1,7.116999999999997,8.9005,v,0.0,0.0
25,5.25,6.827000000000001,11.241875,v,0.0,0.0
26,4.2,7.511999999999992,13.58325,v,0.0,0.0
27,5.25,8.640999999999998,15.924625,v,0.0,0.0
28,7.35,8.81,18.266,v,0.0,0.0
29,7.35,9.051999999999998,18.74475,v,0.0,0.0
30,7.35,11.228,19.2235,c,0.0,0.0
31,5.25,12.685999999999995,19.70225,c,0.0,-0.014400000000000003
32,5.25,13.285999999999996,20.181,c,0.0,3.535021763004838
33,5.25,12.997000000000005,22.78225,c,0.0,4.639317952315535
34,2.1,14.078,25.3835,c,0.0,10.186383731920968
35,3.1500000000000004,13.732000000000001,27.98475,c,0.0,8.296748300456775
36,7.35,14.531999999999998,30.586,c,1.05,16.20497388065411
37,5.25,14.061999999999996,32.2823125,c,1.05,16.038726063403228
38,9.450000000000001,14.749999999999993,33.978625,c,2.1,15.712624702412663
39,11.550000000000002,15.124000000000004,35.6749375,c,7.35,19.16299905394937
40,3.1500000000000004,14.263,37.37125,c,5.25,20.255000404826873
41,1.05,15.049999999999995,37.46,c,0.0,22.29035862543459
42,1.05,13.872000000000005,37.54875,c,3.1500000000000004,23.700854621405604
43,0.0,14.271999999999998,37.6375,c,3.1500000000000004,25.690034941391062
44,1.05,14.132000000000005,37.72625,c,6.3,27.481149898474158
45,1.05,14.987999999999998,37.13075,c,6.3,26.886561710405743
46,1.05,13.715000000000002,36.53525000000001,c,6.3,26.942664577233305
47,1.05,14.629000000000007,35.93975000000001,c,7.35,28.284064459623128
48,0.0,14.320000000000006,35.34425,c,5.25,28.81869693431323
49,0.0,13.914000000000005,35.808625,c,6.3,28.6507705804049
50,0.0,14.743,36.273,c,5.25,29.132366901945
51,0.0,13.746000000000002,36.737375,c,6.3,29.064996389145755
52,0.0,14.203,37.20175,c,6.3,29.39267857185934
53,0.0,13.83799999999999,36.714125,c,6.3,29.5126769285208
54,0.0,14.232999999999999,36.2265,c,6.3,29.290220481432428
55,0.0,15.490000000000006,35.738875,c,4.2,28.703525841719994
56,0.0,15.738999999999994,35.25125,c,3.1500000000000004,27.98982892061519
57,0.0,15.132,34.30075,c,3.1500000000000004,27.294671758315662
58,0.0,15.417000000000002,33.35025,c,2.1,26.54350403974216
59,1.05,15.709000000000001,32.39975,c,2.1,25.510654689796382
60,1.05,16.743,31.44925,c,1.05,24.924432041199033
61,0.0,15.015999999999998,32.06525,c,0.0,24.21947429394349
62,0.0,15.413999999999993,32.68125,c,0.0,21.937174921545957
63,0.0,14.628999999999996,33.29725,c,1.05,20.252188972903742
64,1.05,15.435,33.91325,c,2.1,18.70194828340069
65,2.1,14.582000000000004,34.017,c,1.05,17.356520878181886
66,1.05,14.868,34.12075,c,1.05,16.39462003330972
67,1.05,14.214999999999993,34.2245,c,1.05,13.873774343097125
68,4.2,14.192000000000007,34.32825,p,1.05,11.406536969079426
69,5.25,11.987,33.4105625,p,3.1500000000000004,9.666431740122256
70,2.1,12.456000000000005,32.492875,p,2.1,7.402723672039976
71,3.1500000000000004,12.288999999999998,31.5751875,p,2.1,5.143763407622498
72,4.2,13.53,30.6575,p,2.1,3.701186930521776
73,5.25,14.409,30.23575,p,4.2,2.3128880925860265
74,7.35,15.094000000000001,29.814,p,6.3,0.5642062314405253
75,7.35,16.5,29.39225,p,5.25,-0.027000000000000007
76,11.550000000000002,16.014000000000006,28.9705,p,6.3,-0.027000000000000007
77,10.500000000000002,17.176,26.8498125,p,5.25,-0.027000000000000007
78,3.1500000000000004,17.413000000000004,24.729125,p,2.1,-0.0054
79,0.0,16.857000000000006,22.6084375,p,0.0,0.0
80,3.1500000000000004,16.416999999999994,20.48775,p,2.1,0.0
81,8.4,17.84599999999999,19.9871875,p,6.3,0.0
82,7.35,18.31,19.486625,p,6.3,0.0
83,2.1,18.742,18.9860625,p,2.1,0.0
84,0.0,18.911999999999995,18.4855,p,0.0,0.0
85,2.1,16.622,16.34525,p,1.05,0.0
86,4.2,16.578000000000007,14.204999999999998,p,1.05,0.0
87,3.1500000000000004,15.595999999999995,12.064749999999998,p,1.05,0.0
88,1.05,15.212000000000002,9.924499999999998,c,1.05,0.0
89,0.0,15.312000000000005,8.764874999999998,c,0.0,0.0
90,1.05,15.928000000000004,7.605249999999999,c,1.05,0.0
91,1.05,15.292999999999996,6.445625,c,1.05,0.0
92,0.0,16.664000000000005,5.2860000000000005,c,0.0,0.0
93,0.0,16.209000000000003,5.247999999999998,c,0.0,0.0
94,0.0,16.311000000000003,5.21,c,0.0,0.0
95,0.0,15.90599999999999,5.1720000000000015,c,0.0,0.0
96,0.0,13.35,5.1339999999999995,c,0.0,0.0
97,0.0,12.751,4.904375,c,0.0,0.0
98,0.0,11.641999999999998,4.67475,v,0.0,0.0
99,0.0,11.017999999999999,4.445125000000001,v,0.0,0.0
100,0.0,9.478999999999994,4.2155000000000005,v,0.0,0.0
101,0.0,9.432000000000004,4.303000000000001,v,0.0,0.0
102,0.0,8.786999999999999,4.3905,v,0.0,0.0
103,0.0,7.891999999999999,4.478,v,0.0,0.0
104,0.0,7.990999999999995,4.5655,sv,0.0,0.0
105,0.0,8.202999999999998,4.57375,sv,0.0,0.0
106,0.0,7.772999999999996,4.582,sv,0.0,0.0
107,0.0,7.556999999999997,4.590249999999998,sv,0.0,0.0
108,0.0,8.386999999999997,4.5985,sv,0.0,0.0
109,0.0,7.568999999999999,4.5627499999999985,sv,0.0,0.0
110,0.0,8.955,4.526999999999999,sv,0.0,0.0
111,0.0,7.375999999999998,4.49125,sv,0.0,0.0
112,0.0,6.8569999999999975,4.4555,sv,0.0,0.0
113,0.0,6.778999999999999,4.469875,sv,0.0,0.0
114,0.0,6.859999999999997,4.4842499999999985,sv,0.0,0.0
115,2.1,6.634999999999999,4.498625,sv,0.0,0.0
116,3.1500000000000004,6.653999999999996,4.513,sv,0.0,0.0
117,2.1,6.662999999999997,5.37425,sv,0.0,0.0
118,1.05,6.721999999999997,6.2355,sv,0.0,0.0
119,1.05,6.378999999999998,7.09675,sv,0.0,0.0
120,4.2,7.246999999999997,7.957999999999999,v,0.0,0.0
121,4.2,7.304999999999995,9.97875,v,0.0,0.0
122,3.1500000000000004,7.527,11.9995,v,0.0,0.0
123,4.2,8.066999999999995,14.02025,v,0.0,0.0
124,2.1,9.020000000000003,16.041,v,0.0,0.0
125,2.1,9.665999999999991,16.5690625,v,0.0,0.0
126,4.2,10.219,17.097125,c,0.0,0.0
