SANTIAGO, -, CHL,,,,,
month,day,hour,Ta,G_Gh,G_Bn,G_Dh,FF
1,1,1,16.7,0,0,0,1.5
1,1,2,15.1,0,0,0,0
1,1,3,13.8,0,0,0,0
1,1,4,12.7,0,0,0,0
1,1,5,11.7,0,0,0,0
1,1,6,10.6,3,0,3,0
1,1,7,13,69,44,61,0
1,1,8,18,267,309,155,0.5
1,1,9,21,506,600,175,0.5
1,1,10,24,733,756,189,1
1,1,11,26.2,916,871,173,3.1
1,1,12,27,1040,965,131,3.1
1,1,13,29,1094,968,143,1
1,1,14,30,1074,959,144,4.1
1,1,15,29.5,987,906,167,5.1
1,1,16,29,834,867,144,6.2
1,1,17,27.9,631,738,155,6.2
1,1,18,26,393,537,143,7.2
1,1,19,24,164,175,117,5.1
1,1,20,22.5,18,0,18,1
1,1,21,19,0,0,0,3.6
1,1,22,17,0,0,0,3.6
1,1,23,16,0,0,0,4.1
1,1,24,15,0,0,0,2.1
1,2,1,13.6,0,0,0,1.5
1,2,2,13.6,0,0,0,1.5
1,2,3,12,0,0,0,1.5
1,2,4,12,0,0,0,1.5
1,2,5,12.1,0,0,0,0
1,2,6,10,2,0,2,1
1,2,7,11,67,41,60,0.5
1,2,8,16.1,264,304,155,0.5
1,2,9,20,504,605,171,1
1,2,10,22,728,793,159,1
1,2,11,24.6,911,861,178,1
1,2,12,28,1032,940,147,2.1
1,2,13,28.4,1087,946,158,3.1
1,2,14,28.8,1069,940,158,7.2
1,2,15,29,984,931,140,6.2
1,2,16,28,832,859,148,7.2
1,2,17,26.9,630,754,143,7.7
1,2,18,25,394,537,144,6.7
1,2,19,23,164,209,108,8.2
1,2,20,22.5,18,0,18,6.1
1,2,21,22,0,0,0,4.1
1,2,22,19,0,0,0,4.1
1,2,23,18,0,0,0,3.1
1,2,24,13,0,0,0,4.6
1,3,1,17,0,0,0,2.1
1,3,2,14.5,0,0,0,2.1
1,3,3,14,0,0,0,1
1,3,4,14,0,0,0,1
1,3,5,13.2,0,0,0,0
1,3,6,12,2,0,2,0
1,3,7,13,65,39,59,0
1,3,8,17,261,299,154,0.5
1,3,9,20,500,591,176,0.5
1,3,10,23,723,783,163,1
1,3,11,25.6,903,871,162,1
1,3,12,27,1008,873,187,2.6
1,3,13,28,1024,715,323,5.1
1,3,14,27.4,932,512,435,5.7
1,3,15,27,785,399,423,5.7
1,3,16,27,582,264,372,6.2
1,3,17,25.9,358,80,307,5.7
1,3,18,24,225,29,211,5.1
1,3,19,23,94,0,94,3.1
1,3,20,22,11,0,11,2.1
1,3,21,20,0,0,0,4.6
1,3,22,18,0,0,0,3.6
1,3,23,16.4,0,0,0,2.6
1,3,24,15,0,0,0,2.6
1,4,1,15,0,0,0,2.6
1,4,2,13.7,0,0,0,3.6
1,4,3,14,0,0,0,4.1
1,4,4,12,0,0,0,1.5
1,4,5,11.6,0,0,0,0.5
1,4,6,11,2,0,2,0
1,4,7,12,62,28,57,0
1,4,8,14.4,254,279,155,0.5
1,4,9,17,478,517,196,0.5
1,4,10,20,670,594,246,1.5
1,4,11,22.4,790,490,374,3.1
1,4,12,25,973,706,309,3.1
1,4,13,25,1064,838,242,3.6
1,4,14,27,1067,935,161,2.6
1,4,15,29,984,929,141,4.6
1,4,16,28,836,864,148,6.2
1,4,17,27.1,632,754,144,5.7
1,4,18,26,397,539,144,7.2
1,4,19,23,166,177,118,6.7
1,4,20,22,19,0,19,5.7
1,4,21,21,0,0,0,3.6
1,4,22,19,0,0,0,2.1
1,4,23,18,0,0,0,2.1
1,4,24,16,0,0,0,1.5
1,5,1,14,0,0,0,0
1,5,2,14.1,0,0,0,0.5
1,5,3,13.5,0,0,0,0.5
1,5,4,13,0,0,0,0.5
1,5,5,13,0,0,0,2.6
1,5,6,13,2,0,2,0.5
1,5,7,12,62,34,57,1
1,5,8,16,256,295,152,1
1,5,9,19,496,598,171,1
1,5,10,21,723,749,190,2.1
1,5,11,23.6,906,861,176,2.6
1,5,12,26,1031,953,137,3.6
1,5,13,27,1088,960,147,3.6
1,5,14,29,1075,962,143,4.1
1,5,15,29,990,950,128,4.1
1,5,16,30,837,868,145,4.6
1,5,17,29,634,740,155,5.1
1,5,18,28,396,537,145,5.1
1,5,19,27,167,178,118,3.6
1,5,20,25.6,19,0,19,3.1
1,5,21,23,0,0,0,1.5
1,5,22,20,0,0,0,2.6
1,5,23,19.2,0,0,0,2.6
1,5,24,18,0,0,0,0.5
1,6,1,17,0,0,0,2.1
1,6,2,15.5,0,0,0,1.5
1,6,3,14,0,0,0,0.5
1,6,4,13,0,0,0,1.5
1,6,5,14,0,0,0,0.5
1,6,6,15,2,0,2,1.5
1,6,7,15,52,3,52,2.6
1,6,8,16.9,144,9,141,2.6
1,6,9,19,344,158,258,2.1
1,6,10,20,574,328,340,2.6
1,6,11,22.2,786,518,348,3.1
1,6,12,24,896,551,379,5.1
1,6,13,25,945,539,416,4.1
1,6,14,27.1,933,543,407,3.1
1,6,15,27,788,357,464,3.6
1,6,16,25,582,262,373,6.7
1,6,17,24.2,358,78,307,4.6
1,6,18,22,225,29,212,5.1
1,6,19,21,95,0,95,6.2
1,6,20,19.2,11,0,11,5.1
1,6,21,17,0,0,0,1.5
1,6,22,16,0,0,0,2.1
1,6,23,14.8,0,0,0,2.1
1,6,24,14,0,0,0,2.6
1,7,1,12,0,0,0,3.1
1,7,2,11.9,0,0,0,2.6
1,7,3,12,0,0,0,1.5
1,7,4,11,0,0,0,2.1
1,7,5,10.2,0,0,0,1.5
1,7,6,10,1,0,1,1
1,7,7,10,58,28,54,1.5
1,7,8,13.2,250,287,150,1
1,7,9,16,489,583,174,0.5
1,7,10,19.3,713,773,164,4.1
1,7,11,22.7,898,876,158,0.5
1,7,12,26,1023,930,151,2.6
1,7,13,28,1082,942,160,3.6
1,7,14,29.8,1066,932,162,4.1
1,7,15,29.4,982,921,146,4.9
1,7,16,29,835,881,132,5.7
1,7,17,28.2,632,748,146,6.7
1,7,18,27,397,535,146,5.7
1,7,19,26,167,213,109,5.1
1,7,20,24.2,19,0,19,4.6
1,7,21,23,0,0,0,2.6
1,7,22,20,0,0,0,3.6
1,7,23,19.6,0,0,0,2.6
1,7,24,18,0,0,0,3.1
1,8,1,16,0,0,0,2.1
1,8,2,15.8,0,0,0,1.5
1,8,3,15,0,0,0,0.5
1,8,4,14,0,0,0,1.5
1,8,5,13.2,0,0,0,1
1,8,6,13.6,1,0,1,1
1,8,7,14,56,25,53,2.1
1,8,8,17,248,283,149,3.1
1,8,9,20,487,583,173,2.1
1,8,10,23,712,779,161,2.1
1,8,11,24.7,895,873,159,2.6
1,8,12,26,1021,930,151,4.6
1,8,13,28,1080,938,162,4.1
1,8,14,27,1067,936,160,5.1
1,8,15,27,984,928,142,6.2
1,8,16,27,834,856,151,6.7
1,8,17,26,632,745,147,5.7
1,8,18,24,398,536,146,5.7
1,8,19,21,167,213,109,4.6
1,8,20,19.2,19,0,19,4.6
1,8,21,17,0,0,0,4.6
1,8,22,16,0,0,0,4.1
1,8,23,14.6,0,0,0,3.6
1,8,24,14,0,0,0,2.1
1,9,1,13,0,0,0,2.6
1,9,2,12.5,0,0,0,2.6
1,9,3,12,0,0,0,2.1
1,9,4,12,0,0,0,2.6
1,9,5,11.6,0,0,0,2.6
1,9,6,10,1,0,1,2.6
1,9,7,11,54,21,51,1.5
1,9,8,12.6,240,261,150,1
1,9,9,16,474,537,186,2.1
1,9,10,18,695,726,182,1.5
1,9,11,20.7,875,812,190,2.1
1,9,12,22,1015,868,203,3.6
1,9,13,25,1079,936,163,4.6
1,9,14,26.6,1066,934,161,5.1
1,9,15,27,982,919,147,5.7
1,9,16,26,833,849,154,5.7
1,9,17,25.9,630,739,150,5.7
1,9,18,24,398,534,146,6.2
1,9,19,22,167,213,109,6.2
1,9,20,20.2,19,0,19,3.1
1,9,21,19,0,0,0,4.6
1,9,22,18,0,0,0,3.6
1,9,23,17.4,0,0,0,3.1
1,9,24,16,0,0,0,1.5
1,10,1,16,0,0,0,1
1,10,2,14.7,0,0,0,0
1,10,3,14,0,0,0,1.5
1,10,4,14,0,0,0,1
1,10,5,13.6,0,0,0,1
1,10,6,13,1,0,1,0.5
1,10,7,13,53,22,50,0.5
1,10,8,15.3,240,299,138,0.5
1,10,9,19,478,565,176,1.5
1,10,10,22,705,767,164,0.5
